City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,cabo san lucas,22.8909,-109.9124,33.61,43,0,4.12,MX,1720305845
121,ribeira grande,38.5167,-28.7,22.22,88,40,2.57,PT,1720306479
122,olonkinbyen,70.9221,-8.7187,1.81,86,6,5.35,SJ,1720306480
123,kerikeri,-35.2268,173.9474,12.73,89,20,1.79,NZ,1720306481
124,west island,-12.1568,96.8225,26.99,83,40,6.69,CC,1720306482
125,la tuque,47.4334,-72.7824,27.14,41,93,1.54,CA,1720306483
126,fale old settlement,-9.3852,-171.2468,28.38,73,94,2.95,TK,1720306484
127,rumuruti,0.267,36.5389,16.58,84,99,2.44,KE,1720306485
128,santarem,-2.4431,-54.7083,29.07,74,0,3.09,BR,1720306487
129,codrington,-38.2667,141.9667,4.86,81,0,3.11,AU,1720306014
130,sechura,-5.5569,-80.8222,22.17,66,90,8.26,PE,1720306115
131,as sulayyil,20.4607,45.5779,31.14,10,100,3.76,SA,1720306490
132,vila velha,-20.3297,-40.2925,24.97,83,75,3.6,BR,1720306320
133,olney,39.1532,-77.0669,34.75,59,75,0.0,US,1720306492
134,makokou,0.5738,12.8642,21.88,91,100,0.9,GA,1720306493
135,aykhal,66.0,111.5,15.22,94,100,2.58,RU,1720306494
136,hirara,24.8,125.2833,29.92,89,20,3.6,JP,1720306495
137,kodiak,57.79,-152.4072,18.73,55,0,4.12,US,1720306496
138,oranjemund,-28.55,16.4333,14.33,80,72,11.73,NA,1720306119
139,kokopo,-4.352,152.2633,26.22,83,100,6.01,PG,1720306498
140,satipo,-11.2522,-74.6386,24.63,67,81,0.58,PE,1720306501
141,greymouth,-42.4667,171.2,8.13,82,98,1.39,NZ,1720306502
142,tazacorte,28.629,-17.9293,20.64,95,100,6.69,ES,1720306503
143,haifa,32.8156,34.9892,26.78,72,8,0.89,IL,1720306504
144,tolanaro,-25.0319,46.9987,18.04,88,20,3.09,MG,1720306102
145,labrador city,52.9463,-66.9114,22.95,28,0,5.14,CA,1720306506
146,udachny,66.4167,112.4,16.31,91,100,1.17,RU,1720306507
147,manistee,44.2445,-86.3242,20.97,69,20,4.12,US,1720306508
148,constantia,44.1833,28.65,20.39,66,6,3.03,RO,1720306509
149,beltran,-27.8291,-64.061,11.75,22,3,3.44,AR,1720306510
150,sitka,57.0531,-135.33,15.94,72,75,6.69,US,1720306512
151,dharuhera,28.2167,76.7833,26.88,84,96,4.59,IN,1720306513
152,hawaiian paradise park,19.5933,-154.9731,27.73,69,100,3.09,US,1720306083
153,santyoku,37.4406,129.1708,24.82,80,100,5.29,KR,1720306515
154,tshabong,-26.05,22.45,10.14,12,6,6.91,BW,1720306516
155,wotho,10.1657,166.0102,28.64,79,35,7.44,MH,1720306517
156,flying fish cove,-10.4217,105.6791,25.82,88,100,5.14,CX,1720305965
157,lazaro cardenas,17.9583,-102.2,29.72,65,9,5.22,MX,1720306311
158,tual,-5.6667,132.75,26.25,88,92,9.54,ID,1720306094
159,jamestown,42.097,-79.2353,25.29,60,20,4.63,US,1720306520
160,bilibino,68.0546,166.4372,7.71,86,99,2.15,RU,1720305925
161,bubaque,11.2833,-15.8333,27.1,81,100,6.8,GW,1720306523
162,benguela,-12.5763,13.4055,20.25,83,72,1.62,AO,1720306525
163,lagoa,39.05,-27.9833,21.64,87,1,4.26,PT,1720306526
164,tralee,52.2704,-9.7026,10.36,96,89,1.72,IE,1720306527
165,san juan de miraflores,-12.1629,-76.9635,21.21,71,69,4.77,PE,1720306432
166,nadi,-17.8,177.4167,25.0,61,20,5.66,FJ,1720306529
167,impfondo,1.6381,18.0667,22.7,94,100,1.16,CG,1720306530
168,kargasok,59.0556,80.8572,13.32,70,96,4.44,RU,1720306531
169,tuy hoa,13.0833,109.3,24.48,91,100,1.49,VN,1720305956
170,happy valley-goose bay,53.3168,-60.3315,26.17,21,20,3.6,CA,1720306533
171,isafjordur,66.0755,-23.124,7.68,65,72,1.71,IS,1720305964
172,el granada,37.5027,-122.4694,36.82,53,20,9.26,US,1720306535
173,krasnokuts'k,50.066,35.1628,14.77,73,0,3.79,UA,1720306536
174,onega,63.9061,38.1404,11.35,85,6,3.39,RU,1720306537
175,margaret river,-33.95,115.0667,15.16,78,77,10.28,AU,1720306538
176,kolda,12.8833,-14.95,28.17,83,20,2.06,SN,1720306540
177,badger,64.8,-147.5333,16.14,81,75,6.17,US,1720306541
178,ola,59.5833,151.2833,12.31,88,100,1.43,RU,1720306542
179,thinadhoo,0.5333,72.9333,28.65,73,96,2.97,MV,1720306543
180,tumkur,13.3422,77.1017,21.71,81,100,6.27,IN,1720306544
181,el calafate,-50.3408,-72.2768,-3.81,73,39,0.7,AR,1720305918
182,pacific grove,36.6177,-121.9166,28.64,79,20,3.09,US,1720306546
183,palikir - national government center,6.9248,158.1611,29.47,79,75,2.06,FM,1720306547
184,zuenoula,7.4292,-6.0431,23.05,92,91,2.2,CI,1720306548
185,mejit,10.2753,170.8646,28.0,78,97,8.16,MH,1720306259
186,ulaangom,49.9811,92.0667,19.62,47,65,2.21,MN,1720306550
187,tarinkot,32.6268,65.8733,23.92,23,0,2.61,AF,1720306552
188,kourou,5.1552,-52.6478,27.03,85,99,3.36,GF,1720306553
189,chegdomyn,51.1167,133.0167,22.24,77,25,0.65,RU,1720306554
190,nantucket,41.2835,-70.0995,23.41,94,100,7.72,US,1720306216
191,koudougou,12.25,-2.3667,25.83,68,83,2.13,BF,1720306556
192,sur,22.5667,59.5289,33.76,37,100,3.13,OM,1720306557
193,kavieng,-2.5744,150.7967,28.0,76,100,4.43,PG,1720306011
194,puerto deseado,-47.7503,-65.8938,1.19,77,6,4.22,AR,1720306560
195,longboat key,27.4125,-82.659,31.68,83,100,3.09,US,1720306561
196,college,64.8569,-147.8028,16.18,82,100,6.17,US,1720306564
197,kruisfontein,-34.0033,24.7314,10.87,28,81,3.22,ZA,1720306113
198,midvagur,62.0511,-7.1939,8.46,87,100,6.69,FO,1720306566
199,yelizovo,53.1873,158.3805,15.08,88,75,1.0,RU,1720306169
200,wuyang,31.9925,116.2472,28.37,83,95,2.74,CN,1720306568
201,selebi-phikwe,-21.979,27.8498,9.61,11,0,0.72,BW,1720306569
202,susuman,62.7833,148.1667,12.01,75,88,1.91,RU,1720306030
203,kitimat,54.0524,-128.6534,28.16,41,0,2.68,CA,1720306571
204,san luis de la loma,17.2706,-100.8939,29.66,69,20,3.98,MX,1720306573
205,ugoofaaru,5.6667,73.0,28.41,80,99,3.8,MV,1720306574
206,saint-pierre,-21.3393,55.4781,18.82,55,0,3.6,RE,1720306575
207,san pedro pochutla,15.7333,-96.4667,29.84,61,83,2.15,MX,1720306576
208,sassandra,4.95,-6.0833,24.45,90,99,4.46,CI,1720306577
209,yongchuan,29.3514,105.8947,26.39,82,100,1.03,CN,1720306578
210,quebo,11.3333,-14.9333,25.32,87,100,1.76,GW,1720306579
211,dunda,-8.1167,34.25,15.71,55,2,1.4,TZ,1720306580
212,chifeng,42.2683,118.9636,20.76,74,69,1.23,CN,1720306581
213,fort walton beach,30.4058,-86.6188,33.36,68,0,4.92,US,1720306323
214,mitu,1.1983,-70.1733,22.94,98,74,0.09,CO,1720306583
215,san patricio,28.017,-97.5169,34.4,45,56,4.96,US,1720306584
216,port blair,11.6667,92.75,25.02,94,75,1.03,IN,1720306585
217,el hadjira,32.6134,5.5126,36.46,14,38,5.36,DZ,1720306586
218,hilo,19.7297,-155.09,27.85,71,100,3.09,US,1720306527
219,sierre,46.2919,7.5356,18.92,95,100,1.13,CH,1720306589
220,kurchatov,51.6601,35.6521,12.23,79,1,2.86,RU,1720306328
221,nchelenge,-9.3451,28.734,17.25,43,38,1.87,ZM,1720306591
222,olonets,60.9847,32.9698,11.66,94,19,2.97,RU,1720306592
223,gadzhiyevo,69.2551,33.3362,11.72,91,100,6.27,RU,1720306593
224,yanchep,-31.55,115.6833,12.34,95,63,5.96,AU,1720306594
225,coxim,-18.5067,-54.76,25.77,30,42,2.24,BR,1720306595
226,doka,13.5167,35.7667,22.43,90,92,7.99,SD,1720306596
227,nogliki,51.8333,143.1667,13.73,88,100,3.96,RU,1720306597
228,ndele,8.4109,20.6473,20.86,89,99,0.43,CF,1720306599
229,colonia del sacramento,-34.4667,-57.85,8.07,71,0,3.09,UY,1720306600
230,keflavik,64.0049,-22.5624,12.95,58,0,6.69,IS,1720306601
231,malyye derbety,47.9547,44.6808,27.15,60,72,6.41,RU,1720306602
232,artesia,33.8658,-118.0831,33.82,62,0,3.09,US,1720306603
233,ar ruseris,11.8659,34.3869,24.11,83,99,4.49,SD,1720306604
234,minab,27.1467,57.0801,34.2,52,51,1.92,IR,1720306605
235,daru,-9.0763,143.2092,25.23,87,98,8.75,PG,1720306606
236,kaohsiung,22.6163,120.3133,29.46,77,20,2.06,TW,1720306607
237,enewetak,11.3474,162.3373,28.6,78,70,7.14,MH,1720306018
238,katsuren-haebaru,26.3369,127.8719,31.01,85,20,3.09,JP,1720306609
239,egilsstadir,65.2653,-14.3948,5.95,75,75,3.09,IS,1720306610
240,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,88,75,1.0,RU,1720306612
241,richards bay,-28.783,32.0377,13.94,65,0,3.22,ZA,1720306613
242,saint-philippe,-21.3585,55.7679,18.77,74,21,1.82,RE,1720306615
